"Species","HabitatForereef","HabitatFringing","COTS","Max_DHW","Cyclone1","Cyclone2","Cyclone3","Land_Dist","Depth_Mean_100m","Depth_Mean_500m","Curvature_Mean_100m","Curvature_Mean_500m","Coral_Mean_Cover","Macroalgae_Mean_Cover","CTB_Mean_Cover","Random: site","Random: year"
"Parupeneus.cyclostomus",0.09,0.13,0,0,0,0,0,0.18,0.22,0.03,0.05,0.08,0.01,0.01,0.01,0.04,0.12
"Parupeneus.insularis",0.16,0.17,0.02,0,0,0,0,0.12,0.04,0.02,0.01,0.02,0.05,0.04,0.03,0.06,0.25
"Parupeneus.pleurostigma",0.33,0.03,0.01,0.01,0,0,0,0.18,0.21,0.02,0.03,0.03,0.02,0.01,0.01,0.03,0.07
"Plagiotremus.tapeinosoma",0.08,0.06,0.02,0.01,0,0.01,0,0.09,0.08,0.11,0.01,0.21,0.02,0.06,0.01,0.14,0.07
"Plectroglyphidodon.johnstonianus",0.19,0.11,0,0,0,0,0,0.06,0.49,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0
"Pomacentrus.pavo",0.71,0.02,0,0,0,0,0,0.04,0.12,0.01,0.01,0.07,0,0,0.01,0,0.01
"Pomachromis.fuscidorsalis",0.27,0.1,0,0,0,0,0,0.19,0.21,0.03,0.05,0.05,0.01,0.02,0.01,0.02,0.03
"Pseudocheilinus.evanidus",0.25,0.25,0.01,0,0,0,0,0.03,0.05,0.25,0.01,0.04,0.02,0.01,0.01,0.05,0.03
"Pseudocheilinus.hexataenia",0.04,0.02,0.01,0,0,0,0,0.03,0.35,0.16,0.01,0.13,0.03,0.02,0.01,0.15,0.02
"Pseudocheilinus.octotaenia",0.37,0.02,0,0,0,0,0,0.04,0.14,0.25,0.01,0.07,0.03,0.01,0.03,0.01,0.01
"Pseudocheilinus.tetrataenia",0.42,0.03,0,0,0,0,0,0.05,0.35,0.07,0.01,0.02,0.01,0,0.01,0.01,0.01
"Pseudojuloides.atavai",0.11,0.13,0.01,0,0,0,0,0.13,0.38,0.03,0.01,0.07,0.02,0.01,0.02,0.01,0.07
"Pycnochromis.acares",0.2,0.07,0,0,0,0,0,0.04,0.51,0.05,0.01,0.03,0.01,0.01,0.01,0.04,0.01
"Pycnochromis.iomelas",0.13,0.34,0,0,0,0,0,0.05,0.13,0.04,0.01,0.01,0,0,0,0.26,0.01
"Pycnochromis.margaritifer",0.13,0.17,0,0,0,0,0,0.17,0.08,0.01,0.02,0.01,0,0.01,0.01,0.38,0.01
"Pycnochromis.vanderbilti",0.64,0.07,0,0,0,0,0,0.05,0.11,0.04,0.03,0.03,0,0.01,0,0.01,0.01
"Pygoplites.diacanthus",0.02,0.33,0,0,0,0,0,0.21,0.14,0.01,0.03,0.05,0.01,0,0,0.2,0
